,Country,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2010_Users,2011_Users,2012_Users,2013_Users,2014_Users,2015_Users,2016_Users,2017_Users,2018_Users,2019_Users,2020_Users
61,Guinea-Bissau,849878424.2,1099818652.0,989271229.6,1046087418.0,1054915645.0,1048229629.0,1179004941.0,1350177128.0,1504630121.0,1439638443.0,1431758243.0,2.450000048,2.671999931,2.893990517,3.099999905,3.319999933,6.099999905,13.80000019,14.80000019,15.69999981,19.39999962,22.89999962
62,Equatorial Guinea,16314442183.0,21357344847.0,22388345810.0,21948835350.0,21765454404.0,13185496836.0,11240809132.0,12200912828.0,13097011208.0,11364134109.0,10099157270.0,6.0,11.5,13.94318199,16.39999962,18.86000061,21.31999969,23.78000069,26.23999977,,,
63,Greece,297125000000.0,282996000000.0,242029000000.0,238908000000.0,235458000000.0,195684000000.0,193148000000.0,199844000000.0,212049000000.0,205144000000.0,188835000000.0,44.40000153,51.6499939,55.06999207,59.86629868,63.20999908,66.83496094,69.08791351,69.89296722,72.2383728,75.67120361,78.11584473
64,Grenada,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741.0,1125685185.0,1166523556.0,1213485185.0,1043411111.0,27.0,30.0,32.0,35.0,51.59999847,52.5,53.29999924,54.20000076,55.09999847,56.0,56.90000153
65,Greenland,2503156061.0,2684467376.0,2609667674.0,2684952727.0,2842048998.0,2499115623.0,2707146783.0,2851610656.0,3055791341.0,2994332324.0,3075968329.0,63.0,64.0,64.89601135,65.80000305,66.69999695,67.60044098,68.50087738,69.48246002,,,
66,Guatemala,40676432029.0,46876114650.0,49593961142.0,52996540704.0,57852399964.0,62186186576.0,66053725049.0,71654134379.0,73208583759.0,77020015201.0,77604632621.0,10.5,12.30000019,16.0,19.70000076,23.39999962,28.80594063,34.50932693,37.90000153,41.5,44.40105057,49.97000122
67,Guam,4949000000.0,4984000000.0,5265000000.0,5399000000.0,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6060000000.0,6364000000.0,5844000000.0,54.04000092,57.70000076,61.53416061,65.40000153,69.26999664,73.13999939,77.01000214,80.50546265,,,
68,Guyana,3432913073.0,3691384318.0,4063089192.0,4167800259.0,4127659492.0,4279840194.0,4482697337.0,4748174334.0,4787636237.0,5173760192.0,5471256595.0,29.89999962,30.0,30.5,31.0,32.0,34.0,35.65999985,37.32583618,,,
69,High income,45752200000000.0,49401000000000.0,49426100000000.0,50047900000000.0,51126000000000.0,48258400000000.0,49298600000000.0,51558500000000.0,54815600000000.0,55289200000000.0,53699800000000.0,72.24767303,72.79930115,75.49973297,76.85536957,78.4944458,79.93095398,84.27359772,85.77418518,87.48468018,89.04125214,89.82161713
70,Honduras,15839344592.0,17710315006.0,18528601901.0,18499710128.0,19756494435.0,20979767785.0,21717622071.0,23136232230.0,24067778954.0,25089976947.0,23827840810.0,11.09000015,15.89999962,18.12000084,17.79999924,23.0,27.10000038,29.5,31.70000076,36.0,39.38835144,42.04999924
71,Croatia,60426018629.0,63169910822.0,57192346923.0,58889082315.0,58330289757.0,50163192883.0,52295158344.0,56214427431.0,62247874949.0,62246206341.0,57203783203.0,56.54999924,57.78997803,61.93997192,66.74759674,68.56999969,69.84503937,72.69727325,67.09619141,75.29462433,79.07978058,78.32093048
72,Haiti,11859315079.0,13008754111.0,13708926466.0,14902474091.0,15139264670.0,14833154472.0,13987693739.0,15035560373.0,16455034353.0,14785839383.0,14508218017.0,8.369999886,9.0,9.800000191,10.60000038,11.39999962,14.19999981,22.79999924,27.20000076,32.473629,33.29999924,34.5
73,Hungary,132231000000.0,142000000000.0,128857000000.0,135733000000.0,141079000000.0,125210000000.0,128636000000.0,143136000000.0,160587000000.0,163526000000.0,156743000000.0,65.0,68.01998901,70.58000183,72.64389801,75.65319824,72.83473969,79.25941467,76.75054932,76.07436371,80.37169647,84.77114868
74,Indonesia,755094000000.0,892969000000.0,917870000000.0,912524000000.0,890815000000.0,860854000000.0,931877000000.0,1015620000000.0,1042270000000.0,1119100000000.0,1058690000000.0,10.92000008,12.27999973,14.52000046,14.93999958,17.13999939,22.06274223,25.44735336,32.3358078,39.9046402,47.69064713,53.72649384
75,India,1675620000000.0,1823050000000.0,1827640000000.0,1856720000000.0,2039130000000.0,2103590000000.0,2294800000000.0,2651470000000.0,2702930000000.0,2831550000000.0,2667690000000.0,7.5,10.06999969,11.10000038,12.30000019,13.5,14.89999962,16.5,18.20000076,20.08130074,29.39999962,43.0
76,Ireland,221876000000.0,238976000000.0,225497000000.0,238279000000.0,258970000000.0,291580000000.0,298928000000.0,335431000000.0,385042000000.0,399122000000.0,425889000000.0,69.84999847,74.8899765,76.91999054,78.24770355,83.49172211,83.49478912,83.5,84.11400604,87.00013733,87.00005341,91.99989319
77,Iraq,138517000000.0,185750000000.0,218002000000.0,234638000000.0,228416000000.0,166774000000.0,166602000000.0,187218000000.0,227367000000.0,233636000000.0,184370000000.0,2.5,5.0,7.099999905,9.199999809,13.21000004,16.79999924,37.66999817,41.93999863,43.29999924,60.0,
78,Iceland,13751161918.0,15221622926.0,14751508134.0,16125060515.0,17867662178.0,17517210519.0,20793168031.0,24728285177.0,26267063758.0,24857740445.0,21718075725.0,93.38999939,94.81968689,96.20980072,96.54679871,98.16000366,98.19999695,98.24001312,98.25520325,99.01095581,99.0,99.0
79,Israel,234655000000.0,262294000000.0,258417000000.0,294167000000.0,310945000000.0,300078000000.0,319024000000.0,355277000000.0,373641000000.0,397935000000.0,407101000000.0,67.5,68.87387848,70.80000305,70.25031281,75.0177536,77.35208893,79.65312195,81.58118439,83.7331543,86.78787994,90.12734222
80,Italy,2136100000000.0,2294990000000.0,2086960000000.0,2141920000000.0,2162010000000.0,1836640000000.0,1877070000000.0,1961800000000.0,2091930000000.0,2011290000000.0,1892570000000.0,53.68000031,54.38999939,55.82999802,58.45930099,55.63846207,58.14173508,61.32425308,63.0773468,74.38718414,76.09999847,70.48342896
81,Jamaica,13220556883.0,14444655300.0,14807086889.0,14264202737.0,13899228824.0,14188935948.0,14077109397.0,14808989993.0,15730793853.0,15830768550.0,13812425037.0,27.67000008,37.43861389,33.79000092,37.09999847,40.40273666,42.22122192,44.36685562,55.07206726,68.21451569,,
