Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guatemala,40676432029.00,46876114650.00,49593961142.00,52996540704.00,57852399964.00,62186186576.00,66053725049.00,71654134379.00,73208583759.00,77020015201.00,77604632621.00
Guam,4949000000.00,4984000000.00,5265000000.00,5399000000.00,5610000000.00,5799000000.00,5901000000.00,6013000000.00,6060000000.00,6364000000.00,5844000000.00
Guyana,3432913073.00,3691384318.00,4063089192.00,4167800259.00,4127659492.00,4279840194.00,4482697337.00,4748174334.00,4787636237.00,5173760192.00,5471256595.00
High income,45752200000000.00,49401000000000.00,49426100000000.00,50047900000000.00,51126000000000.00,48258400000000.00,49298600000000.00,51558500000000.00,54815600000000.00,55289200000000.00,53699800000000.00
"Hong Kong SAR, China",228638000000.00,248514000000.00,262629000000.00,275697000000.00,291459000000.00,309384000000.00,320858000000.00,341273000000.00,361731000000.00,363052000000.00,344881000000.00
Honduras,15839344592.00,17710315006.00,18528601901.00,18499710128.00,19756494435.00,20979767785.00,21717622071.00,23136232230.00,24067778954.00,25089976947.00,23827840810.00
Heavily indebted poor countries (HIPC),520218000000.00,583029000000.00,604867000000.00,673157000000.00,715229000000.00,693547000000.00,728869000000.00,808758000000.00,770227000000.00,797618000000.00,803284000000.00
Croatia,60426018629.00,63169910822.00,57192346923.00,58889082315.00,58330289757.00,50163192883.00,52295158344.00,56214427431.00,62247874949.00,62246206341.00,57203783203.00
Haiti,11859315079.00,13008754111.00,13708926466.00,14902474091.00,15139264670.00,14833154472.00,13987693739.00,15035560373.00,16455034353.00,14785839383.00,14508218017.00
Hungary,132231000000.00,142000000000.00,128857000000.00,135733000000.00,141079000000.00,125210000000.00,128636000000.00,143136000000.00,160587000000.00,163526000000.00,156743000000.00
IBRD only,20097500000000.00,23788700000000.00,25281700000000.00,26687300000000.00,27585900000000.00,25838400000000.00,26049400000000.00,28755700000000.00,30580300000000.00,31244200000000.00,30032400000000.00
IDA & IBRD total,21779200000000.00,25494100000000.00,27074300000000.00,28633400000000.00,29669200000000.00,27890600000000.00,28148200000000.00,30949200000000.00,32816700000000.00,33581700000000.00,32364900000000.00
IDA total,1682180000000.00,1705350000000.00,1792470000000.00,1946120000000.00,2083300000000.00,2051050000000.00,2097400000000.00,2193040000000.00,2236770000000.00,2337490000000.00,2332330000000.00
IDA blend,709901000000.00,814256000000.00,900553000000.00,978009000000.00,1049300000000.00,1011470000000.00,977136000000.00,959821000000.00,1007830000000.00,1040150000000.00,999384000000.00
Indonesia,755094000000.00,892969000000.00,917870000000.00,912524000000.00,890815000000.00,860854000000.00,931877000000.00,1015620000000.00,1042270000000.00,1119100000000.00,1058690000000.00
IDA only,972926000000.00,891297000000.00,891921000000.00,968110000000.00,1034000000000.00,1039580000000.00,1120260000000.00,1233220000000.00,1228940000000.00,1297340000000.00,1333640000000.00
Isle of Man,5920177689.00,6566098382.00,6690725118.00,7000748788.00,7708834951.00,7085288006.00,6846691871.00,6979581725.00,7491969313.00,7315388052.00,nan
India,1675620000000.00,1823050000000.00,1827640000000.00,1856720000000.00,2039130000000.00,2103590000000.00,2294800000000.00,2651470000000.00,2702930000000.00,2831550000000.00,2667690000000.00
Not classified,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ireland,221876000000.00,238976000000.00,225497000000.00,238279000000.00,258970000000.00,291580000000.00,298928000000.00,335431000000.00,385042000000.00,399122000000.00,425889000000.00
"Iran, Islamic Rep.",486808000000.00,626133000000.00,644036000000.00,492776000000.00,460383000000.00,408213000000.00,457955000000.00,486630000000.00,330992000000.00,291363000000.00,231548000000.00
Iraq,138517000000.00,185750000000.00,218002000000.00,234638000000.00,228416000000.00,166774000000.00,166602000000.00,187218000000.00,227367000000.00,233636000000.00,184370000000.00
Iceland,13751161918.00,15221622926.00,14751508134.00,16125060515.00,17867662178.00,17517210519.00,20793168031.00,24728285177.00,26267063758.00,24857740445.00,21718075725.00
Israel,234655000000.00,262294000000.00,258417000000.00,294167000000.00,310945000000.00,300078000000.00,319024000000.00,355277000000.00,373641000000.00,397935000000.00,407101000000.00
Italy,2136100000000.00,2294990000000.00,2086960000000.00,2141920000000.00,2162010000000.00,1836640000000.00,1877070000000.00,1961800000000.00,2091930000000.00,2011290000000.00,1892570000000.00
Jamaica,13220556883.00,14444655300.00,14807086889.00,14264202737.00,13899228824.00,14188935948.00,14077109397.00,14808989993.00,15730793853.00,15830768550.00,13812425037.00
Jordan,27133804225.00,29524149155.00,31634561690.00,34454440141.00,36847643521.00,38587017887.00,39892551127.00,41408960845.00,42932112676.00,44502895915.00,43697659296.00
Japan,5759070000000.00,6233150000000.00,6272360000000.00,5212330000000.00,4896990000000.00,4444930000000.00,5003680000000.00,4930840000000.00,5037840000000.00,5123320000000.00,5040110000000.00
Kazakhstan,148047000000.00,192627000000.00,207999000000.00,236635000000.00,221416000000.00,184388000000.00,137278000000.00,166806000000.00,179340000000.00,181667000000.00,171082000000.00
Kenya,45405587557.00,46869457318.00,56396706006.00,61671425370.00,68285768554.00,70120413329.00,74815121315.00,82035800868.00,92202956321.00,100380000000.00,100667000000.00
Kyrgyz Republic,4794357795.00,6197766119.00,6605139933.00,7335027592.00,7468096567.00,6678178340.00,6813092066.00,7702934800.00,8271108638.00,8871026074.00,7780874537.00
Cambodia,11242275199.00,12829541141.00,14054443213.00,15227991395.00,16702610842.00,18049954289.00,20016747754.00,22177200512.00,24571753583.00,27089389787.00,25872798012.00
Kiribati,155299728.50,180665807.20,189630114.90,184550740.10,177862310.40,170291002.00,178509814.10,188192060.10,196230573.80,177935349.30,180911843.60
St. Kitts and Nevis,778718111.10,836092407.40,826231629.60,875376407.40,954062481.50,958407222.20,1008942296.00,1060638333.00,1078505889.00,1164877852.00,980905888.90
"Korea, Rep.",1144070000000.00,1253220000000.00,1278430000000.00,1370800000000.00,1484320000000.00,1465770000000.00,1500110000000.00,1623900000000.00,1724850000000.00,1651420000000.00,1637900000000.00
Kuwait,115419000000.00,154068000000.00,174070000000.00,174161000000.00,162631000000.00,114567000000.00,109420000000.00,120707000000.00,138182000000.00,136197000000.00,105960000000.00
Latin America & Caribbean (excluding high income),4513240000000.00,5275520000000.00,5247980000000.00,5386100000000.00,5410690000000.00,4599010000000.00,4469550000000.00,4985190000000.00,4840910000000.00,4778840000000.00,3997940000000.00
Lao PDR,7131773633.00,8750107402.00,10192848926.00,11983252611.00,13279248479.00,14426381187.00,15912495369.00,17071162084.00,18141651381.00,18740559554.00,18981800705.00
Lebanon,38443907042.00,39927125961.00,44016799516.00,46880103081.00,48095213746.00,49929337837.00,51147308774.00,53027680686.00,54901519156.00,51605959131.00,25948915861.00
Liberia,1998000000.00,2398000000.00,2791614000.00,3177198100.00,3225652000.00,3227075700.00,3398419600.00,3390703400.00,3422754800.00,3319596500.00,3039982540.00
Libya,75380170508.00,48167374612.00,92538004280.00,75350633011.00,57372445772.00,48717854040.00,49910960875.00,67158415842.00,76684175824.00,69252306372.00,52320215472.00
St. Lucia,1486758037.00,1576988407.00,1605146778.00,1664816741.00,1755130815.00,1808079889.00,1865513430.00,1996771441.00,2065127263.00,2118791548.00,1616772748.00
